City_ID,City,Country,Date,Lat,Lng,Weather,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Rain,Snow
0,Dauriya,RU,2020-02-23 22:11:41,49.93,116.87,clear sky,2.5,2.5,90,0,2.46,0.0,0.0
1,Rikitea,PF,2020-02-23 22:11:41,-23.12,-134.97,clear sky,79.2,79.2,70,0,6.13,0.0,0.0
2,Mataura,NZ,2020-02-23 22:11:41,-46.19,168.86,broken clouds,56.46,56.46,76,77,2.1,0.0,0.0
3,Bluff,NZ,2020-02-23 22:11:41,-46.6,168.33,broken clouds,55.44,55.44,75,66,5.08,0.0,0.0
4,Ville-Marie,CA,2020-02-23 22:11:41,47.33,-79.43,scattered clouds,37.4,37.4,69,40,11.41,0.0,0.0
5,Cape Town,ZA,2020-02-23 22:08:42,-33.93,18.42,clear sky,64.0,66.99,59,0,18.34,0.0,0.0
6,Avarua,CK,2020-02-23 22:11:42,-21.21,-159.78,moderate rain,80.6,80.6,94,100,3.36,0.15748031496062992,0.0
7,Butaritari,KI,2020-02-23 22:11:42,3.07,172.79,moderate rain,84.88,84.88,77,76,12.91,0.2362204724409449,0.0
8,Yenagoa,NG,2020-02-23 22:11:42,4.92,6.26,overcast clouds,82.53,82.53,77,100,5.57,0.0,0.0
9,Faanui,PF,2020-02-23 22:11:42,-16.48,-151.75,broken clouds,82.76,82.76,72,55,11.88,0.0,0.0
10,Belmonte,BR,2020-02-23 22:09:00,-15.86,-38.88,shower rain,78.8,78.8,83,75,8.05,0.0,0.0
11,Provideniya,RU,2020-02-23 22:11:43,64.38,-173.3,clear sky,-6.63,-6.63,70,0,2.08,0.0,0.0
12,Punta Arenas,CL,2020-02-23 22:11:43,-53.15,-70.92,broken clouds,55.4,55.4,62,75,31.09,0.0,0.0
13,Hit,IQ,2020-02-23 22:11:43,33.64,42.83,overcast clouds,60.84,60.84,52,100,7.81,0.0,0.0
14,Bayan,CN,2020-02-23 22:11:43,46.08,127.4,scattered clouds,9.12,9.12,94,39,10.36,0.0,0.0
15,Jackson,US,2020-02-23 22:08:06,42.42,-122.83,broken clouds,55.0,57.99,54,75,4.7,0.0,0.0
16,Boa Vista,BR,2020-02-23 22:11:44,2.82,-60.67,scattered clouds,89.6,89.6,49,40,11.41,0.0,0.0
17,Busselton,AU,2020-02-23 22:09:33,-33.65,115.33,broken clouds,64.99,68.0,48,72,14.25,0.0,0.0
18,Hobart,AU,2020-02-23 22:07:19,-42.88,147.33,broken clouds,54.0,60.01,72,75,3.36,0.0,0.0
19,Souillac,MU,2020-02-23 22:11:44,-20.52,57.52,few clouds,75.0,75.2,88,20,2.24,0.0,0.0
20,Ahipara,NZ,2020-02-23 22:11:44,-35.17,173.17,clear sky,67.82,67.82,70,0,17.25,0.0,0.0
21,Dingle,PH,2020-02-23 22:08:22,11.0,122.67,light rain,72.07,72.07,92,58,11.05,0.012204724409448819,0.0
22,Port Elizabeth,ZA,2020-02-23 22:11:45,-33.92,25.57,clear sky,55.4,55.4,82,0,1.12,0.0,0.0
23,Lorengau,PG,2020-02-23 22:11:45,-2.02,147.27,broken clouds,83.32,83.32,71,72,5.12,0.0,0.0
24,Sawtell,AU,2020-02-23 22:11:45,-30.38,153.1,drizzle,66.99,68.0,94,75,8.05,0.0,0.0
25,Dunedin,NZ,2020-02-23 22:11:45,-45.87,170.5,scattered clouds,56.26,56.26,78,46,3.38,0.0,0.0
26,Hermanus,ZA,2020-02-23 22:11:46,-34.42,19.23,clear sky,63.0,66.99,74,0,10.0,0.0,0.0
27,Clearwater,US,2020-02-23 22:10:37,27.97,-82.8,clear sky,69.01,77.0,56,1,6.93,0.0,0.0
28,Aklavik,CA,2020-02-23 22:07:31,68.22,-135.01,light snow,-4.0,-4.0,70,75,5.82,0.0,0.0
29,Vaini,TO,2020-02-23 22:11:46,-21.2,-175.2,scattered clouds,80.6,80.6,88,40,9.17,0.0,0.0
30,Albany,US,2020-02-23 22:11:46,42.6,-73.97,clear sky,39.99,51.8,34,1,5.82,0.0,0.0
31,Ushuaia,AR,2020-02-23 22:11:47,-54.8,-68.3,overcast clouds,46.4,46.4,87,90,23.04,0.0,0.0
32,San Policarpo,PH,2020-02-23 22:11:47,12.18,125.51,light rain,78.6,78.6,86,6,15.23,0.02716535433070866,0.0
33,Tasiilaq,GL,2020-02-23 22:11:47,65.61,-37.64,broken clouds,12.2,12.2,61,60,14.99,0.0,0.0
34,Adrar,MR,2020-02-23 22:07:09,20.5,-10.07,overcast clouds,85.57,85.57,9,100,9.98,0.0,0.0
35,Katsuura,JP,2020-02-23 22:11:47,35.13,140.3,few clouds,34.0,42.8,45,20,9.17,0.0,0.0
36,Waddan,LY,2020-02-23 22:11:48,29.16,16.14,clear sky,52.07,52.07,64,0,5.08,0.0,0.0
37,Dobryanka,RU,2020-02-23 22:11:48,58.46,56.42,light snow,30.2,30.2,68,40,13.42,0.0,0.0
38,Pevek,RU,2020-02-23 22:08:08,69.7,170.31,overcast clouds,-13.94,-13.94,99,100,5.64,0.0,0.0
39,Chala,TZ,2020-02-23 22:11:48,-7.58,31.27,scattered clouds,64.4,64.4,93,40,3.49,0.0,0.0
40,Rostock,DE,2020-02-23 22:11:48,54.09,12.14,scattered clouds,37.4,39.99,86,40,16.11,0.0,0.0
41,Sheboygan,US,2020-02-23 22:11:49,43.73,-87.93,clear sky,44.6,48.99,52,1,13.87,0.0,0.0
42,Cabo San Lucas,MX,2020-02-23 22:10:02,22.89,-109.91,few clouds,73.0,82.0,44,20,11.41,0.0,0.0
43,Ilulissat,GL,2020-02-23 22:06:50,69.22,-51.1,clear sky,-2.2,-2.2,58,0,6.93,0.0,0.0
44,Nuevo Progreso,MX,2020-02-23 22:11:49,23.17,-97.95,broken clouds,75.0,81.0,69,80,10.0,0.0,0.0
45,Torbay,CA,2020-02-23 22:11:49,47.67,-52.73,few clouds,28.0,32.0,81,20,13.87,0.0,0.0
46,Lopukhiv,UA,2020-02-23 22:11:50,48.37,23.96,snow,33.03,33.03,98,100,16.2,0.0,0.35433070866141736
47,San Jose,US,2020-02-23 22:07:24,37.34,-121.89,broken clouds,54.0,64.0,58,75,4.7,0.0,0.0
48,Yellowknife,CA,2020-02-23 22:11:50,62.46,-114.35,few clouds,-5.8,-2.0,63,20,6.93,0.0,0.0
49,Kapaa,US,2020-02-23 22:11:50,22.08,-159.32,clear sky,77.0,79.0,69,1,8.05,0.0,0.0
50,Bredasdorp,ZA,2020-02-23 22:11:50,-34.53,20.04,clear sky,60.8,63.0,67,0,4.7,0.0,0.0
51,Sechura,PE,2020-02-23 22:11:51,-5.56,-80.82,clear sky,74.28,74.28,84,2,15.14,0.0,0.0
52,Auki,SB,2020-02-23 22:11:51,-8.77,160.7,light rain,83.01,83.01,76,0,7.14,0.04921259842519685,0.0
53,Tiksi,RU,2020-02-23 22:11:51,71.69,128.87,overcast clouds,-8.19,-8.19,87,100,7.85,0.0,0.0
54,Codrington,AU,2020-02-23 22:11:51,-38.27,141.97,overcast clouds,62.26,62.26,89,97,10.07,0.0,0.0
55,San Rafael,AR,2020-02-23 22:11:51,-34.62,-68.33,clear sky,86.81,86.81,19,0,17.05,0.0,0.0
56,Norman Wells,CA,2020-02-23 22:11:52,65.28,-126.83,broken clouds,5.0,5.0,71,75,10.29,0.0,0.0
57,Upernavik,GL,2020-02-23 22:11:52,72.79,-56.15,clear sky,-17.82,-17.82,81,0,7.31,0.0,0.0
58,Saint-Philippe,RE,2020-02-23 22:11:52,-21.36,55.77,clear sky,63.0,75.2,73,0,6.93,0.0,0.0
59,Castro,BR,2020-02-23 22:11:52,-24.79,-50.01,overcast clouds,67.93,67.93,78,90,2.66,0.0,0.0
60,Hilo,US,2020-02-23 22:06:57,19.73,-155.09,broken clouds,75.0,78.8,61,75,12.75,0.0,0.0
61,Viedma,AR,2020-02-23 22:11:53,-40.81,-63.0,clear sky,90.43,90.43,22,0,19.86,0.0,0.0
62,Vila Franca do Campo,PT,2020-02-23 22:08:07,37.72,-25.43,few clouds,57.2,57.2,82,20,3.36,0.0,0.0
63,Sattenapalle,IN,2020-02-23 22:11:53,16.4,80.18,scattered clouds,68.56,68.56,94,50,4.97,0.0,0.0
64,Vardo,NO,2020-02-23 22:11:53,70.37,31.11,broken clouds,24.8,26.6,92,75,12.75,0.0,0.0
65,Tazovsky,RU,2020-02-23 22:11:53,67.47,78.7,light snow,26.74,26.74,91,100,17.36,0.0,0.007480314960629922
66,Ust-Kuyga,RU,2020-02-23 22:11:53,70.02,135.6,broken clouds,-18.0,-18.0,100,78,5.21,0.0,0.0
67,Nantucket,US,2020-02-23 22:11:07,41.28,-70.1,clear sky,39.99,44.6,48,1,17.22,0.0,0.0
68,Jamestown,US,2020-02-23 22:11:41,42.1,-79.24,clear sky,45.0,48.0,26,1,16.11,0.0,0.0
69,Atuona,PF,2020-02-23 22:11:54,-9.8,-139.03,clear sky,81.61,81.61,76,8,13.73,0.0,0.0
70,Kruisfontein,ZA,2020-02-23 22:11:54,-34.0,24.73,clear sky,56.48,56.48,78,0,4.38,0.0,0.0
71,Wielun,PL,2020-02-23 22:11:55,51.22,18.57,moderate rain,42.01,42.01,91,100,4.0,0.12322834645669292,0.0
72,Shama,CN,2020-02-23 22:11:55,33.61,104.29,clear sky,31.35,31.35,72,0,1.59,0.0,0.0
